Jogador,1,2,3,4,5,6,7,8,9,10,11
Breno,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Bruno César,0,0,0,0,0.8,0.6,-0.1,0.7,3.6,-0.1,-0.4
Bruno Gomes,0,-0.1,0.8,1.7,7.3,0,0,-1.4,-3.6,0.0,1.7
Cano,0,1.9,16.8,6.5,0.3,0.5,11.4,8.9,7.6,8.3,2.9
Carlinhos,0,0,0,5,0,5.9,0.7,0.3,-0.1,0.0,0.0
Cayo Tenório,0,6.1,2.5,0,2.7,0,0,6,0.0,0.0,0.0
Fellipe Bastos,0,19.3,-0.6,9.7,0.001,0.8,9.9,1.6,0.001,1.3,1.9
Fernando Miguel,0,7.8,-2.2,3.9,12,-0.3,-4.2,8.4,3.4,7.3,-2.5
Gabriel Pec,0,1.5,0.001,0,0,2.8,0,0,0.0,0.0,0.0
Guarín,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Guilherme Parede,0,-0.8,-0.1,0.001,0,0.5,-2.3,0,0.0,0.0,2.0
Henrique,0,10.1,-2.2,5.3,5,-1,-0.3,0,0.001,5.4,0.0
Juninho,0,0,0,0,0,1.7,0.5,0,0.0,0.0,0.0
Kaio Magno,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Leandro Castán,0,6.2,3.1,7.5,7.8,2.3,0,0,0.0,4.6,0.0
Lucas Santos,0,-0.2,0,0,0,0,0,0,0.0,0.0,0.001
Lucão,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Marcelo Alves,0,0,0,0,0,0,-1.9,6.6,1.2,0.0,-0.9
Marcos Júnior,0,-0.7,0,0,0,0,0,0,2.4,12.5,1.3
Miranda,0,0,-0.2,5,0,0,0.001,6.2,1.5,0.2,2.5
Nathan,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Neto Borges,0,0,-0.1,8,0,0,0.9,8.2,0.0,0.001,-0.9
Ramon,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ribamar,0,0,0,8,-3.1,-0.6,0.6,-1.1,0.9,11.1,-0.1
Ricardo,0,4.3,2.3,6.4,10.8,3.1,0,0,0.0,-0.6,0.0
Riquelme,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Talles Magno,0,2.7,9.5,6.5,1.3,8.2,0,8.4,1.2,3.9,4.8
Tiago Reis,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ulisses,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Vinícius,0,0,0,0,1.5,0,0,0,-1.9,0.0,0.0
Werley,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Yago Pikachu,0,7.1,0,0,0,1.2,-0.9,7.2,1.1,7.1,-0.4
Ygor Catatau,0,0,0,0,0,0,4.8,0.4,-0.1,9.1,1.2
